factor,levels
OECD,OECD
CNT,CNT
COUNTRY,Country
SUBNATIO,SUBNATIO
ST01Q01,ST01Q01
ST02Q01,ST02Q01
ST03Q02,ST03Q0203
ST03Q03,ST03Q0203
ST04Q01,ST04Q01
ST05Q01,ST583
ST06Q01,ST06Q01
ST07Q01,ST07
ST07Q02,ST07
ST07Q03,ST07
ST08Q01,ST583
ST09Q01,ST09Q01
ST10Q01,ST10
ST10Q02,ST10
ST10Q03,ST10
ST11Q01,ST11
ST11Q02,ST11
ST11Q03,ST11
ST11Q04,ST11Q04
ST12Q01,ST12Q01
ST13Q01,ST13
ST13Q02,ST13
ST13Q03,ST13
ST13Q04,ST13
ST13Q05,ST13
ST13Q06,ST13
ST13Q07,ST13
ST13Q08,ST13
ST13Q09,ST13
ST13Q10,ST13
ST13Q11,ST13
ST13Q12,ST13
ST13Q13,ST13
ST13Q14,ST13
ST13Q15,ST13Q15
ST13Q16,ST13Q16
ST13Q17,ST13Q17
ST14Q01,ST14
ST14Q02,ST14
ST14Q03,ST14
ST14Q04,ST14
ST15Q01,ST15Q01
ST16Q01,ST16
ST16Q02,ST16
ST16Q03,ST16
ST16Q04,ST16
ST16Q05,ST16
ST17Q01,ST17
ST17Q02,ST17
ST17Q03,ST17
ST17Q04,ST17
ST17Q05,ST17
ST17Q06,ST17
ST17Q07,ST17
ST17Q08,ST17
ST18Q01,ST18
ST18Q02,ST18
ST18Q03,ST18
ST18Q04,ST18
ST18Q05,ST18
ST18Q06,ST18
ST18Q07,ST18
ST18Q08,ST18
ST18Q09,ST18
ST18Q10,ST18
ST19Q01,ST19
ST19Q02,ST19
ST19Q03,ST19
ST19Q04,ST19
ST19Q05,ST19
ST19Q06,ST19
ST20QA1,ST20
ST20QA2,ST20
ST20QA3,ST20
ST20QA4,ST20
ST20QA5,ST20
ST20QA6,ST20
ST20QB1,ST20
ST20QB2,ST20
ST20QB3,ST20
ST20QB4,ST20
ST20QB5,ST20
ST20QB6,ST20
ST20QC1,ST20
ST20QC2,ST20
ST20QC3,ST20
ST20QC4,ST20
ST20QC5,ST20
ST20QC6,ST20
ST20QD1,ST20
ST20QD2,ST20
ST20QD3,ST20
ST20QD4,ST20
ST20QD5,ST20
ST20QD6,ST20
ST20QE1,ST20
ST20QE2,ST20
ST20QE3,ST20
ST20QE4,ST20
ST20QE5,ST20
ST20QE6,ST20
ST20QF1,ST20
ST20QF2,ST20
ST20QF3,ST20
ST20QF4,ST20
ST20QF5,ST20
ST20QF6,ST20
ST20QG1,ST20
ST20QG2,ST20
ST20QG3,ST20
ST20QG4,ST20
ST20QG5,ST20
ST20QG6,ST20
ST20QH1,ST20
ST20QH2,ST20
ST20QH3,ST20
ST20QH4,ST20
ST20QH5,ST20
ST20QH6,ST20
ST21Q01,ST21
ST21Q02,ST21
ST21Q03,ST21
ST21Q04,ST21
ST21Q05,ST21
ST21Q06,ST21
ST21Q07,ST21
ST21Q08,ST21
ST22Q01,ST22
ST22Q02,ST22
ST22Q03,ST22
ST22Q04,ST22
ST22Q05,ST22
ST23QA1,ST23
ST23QA2,ST23
ST23QA3,ST23
ST23QA4,ST23
ST23QA5,ST23
ST23QA6,ST23
ST23QB1,ST23
ST23QB2,ST23
ST23QB3,ST23
ST23QB4,ST23
ST23QB5,ST23
ST23QB6,ST23
ST23QC1,ST23
ST23QC2,ST23
ST23QC3,ST23
ST23QC4,ST23
ST23QC5,ST23
ST23QC6,ST23
ST23QD1,ST23
ST23QD2,ST23
ST23QD3,ST23
ST23QD4,ST23
ST23QD5,ST23
ST23QD6,ST23
ST23QE1,ST23
ST23QE2,ST23
ST23QE3,ST23
ST23QE4,ST23
ST23QE5,ST23
ST23QE6,ST23
ST23QF1,ST23
ST23QF2,ST23
ST23QF3,ST23
ST23QF4,ST23
ST23QF5,ST23
ST23QF6,ST23
ST24Q01,ST24
ST24Q02,ST24
ST24Q03,ST24
ST24Q04,ST24
ST24Q05,ST24
ST24Q06,ST24
ST25Q01,ST25
ST25Q02,ST25
ST25Q03,ST25
ST25Q04,ST25
ST25Q05,ST25
ST25Q06,ST25
ST26Q01,ST26
ST26Q02,ST26
ST26Q03,ST26
ST26Q04,ST26
ST26Q05,ST26
ST26Q06,ST26
ST26Q07,ST26
ST27Q01,ST27
ST27Q02,ST27
ST27Q03,ST27
ST27Q04,ST27
ST28Q01,ST28
ST28Q02,ST28
ST28Q03,ST28
ST28Q04,ST28
ST29Q01,ST29
ST29Q02,ST29
ST29Q03,ST29
ST29Q04,ST29
ST30Q01,ST583
ST31Q01,ST31
ST31Q02,ST31
ST31Q03,ST31
ST31Q04,ST31
ST31Q05,ST31
ST31Q06,ST31
ST31Q07,ST31
ST31Q08,ST31
ST31Q09,ST31
ST31Q10,ST31
ST31Q11,ST31
ST31Q12,ST31
ST32Q01,ST32
ST32Q02,ST32
ST32Q03,ST32
ST32Q04,ST32
ST32Q05,ST32
ST32Q06,ST32
ST33Q11,ST33
ST33Q12,ST33
ST33Q21,ST33
ST33Q22,ST33
ST33Q31,ST33
ST33Q32,ST33
ST33Q41,ST33
ST33Q42,ST33
ST33Q51,ST33
ST33Q52,ST33
ST33Q61,ST33
ST33Q62,ST33
ST33Q71,ST33
ST33Q72,ST33
ST33Q81,ST33
ST33Q82,ST33
ST34Q01,ST34
ST34Q02,ST34
ST34Q03,ST34
